Ticker,Date,Open,High,Low,Close,Change,% Change,Volume
FPT,16/11/2021,57873.98118314198,59182.53985326441,57576.58148538688,58468.78057865218,,,4106200
FPT,15/11/2021,58587.74045775421,58587.74045775421,57873.98118314198,57873.98118314198,,,1994800
FPT,12/11/2021,57219.70184808077,58409.30063910116,57041.26202942771,58290.34075999912,,,2367800
FPT,11/11/2021,57695.54136448892,58290.34075999912,56981.78208987669,57100.74196897873,,,2663500
FPT,10/11/2021,57338.66172718281,57695.54136448892,57041.26202942771,57695.54136448892,,,1927600
FPT,09/11/2021,57992.94106224402,58052.42100179504,57100.74196897873,57338.66172718281,,,2124900
FPT,08/11/2021,58052.42100179504,58587.74045775421,57873.98118314198,57933.461122693,,,1789900
FPT,05/11/2021,57219.70184808077,58171.38088089708,57100.74196897873,58052.42100179504,,,2207900
FPT,04/11/2021,57160.22190852975,57576.58148538688,56922.30215032567,57100.74196897873,,,2041000
FPT,03/11/2021,57219.70184808077,57517.10154583586,56624.90245257057,57160.22190852975,,,2782100
FPT,02/11/2021,56803.34227122363,57695.54136448892,56803.34227122363,57160.22190852975,,,2159100
FPT,01/11/2021,57933.461122693,57933.461122693,56862.82221077465,56981.78208987669,,,3281500
FPT,29/10/2021,58290.34075999912,58290.34075999912,57636.0614249379,57636.0614249379,,,2709100
FPT,28/10/2021,58409.30063910116,58528.2605182032,57814.50124359096,58290.34075999912,,,1684400
FPT,27/10/2021,57576.58148538688,58409.30063910116,57398.14166673383,58409.30063910116,,,10939400
FPT,26/10/2021,56505.94257346853,57636.0614249379,56089.5829966114,57636.0614249379,,,2037700
FPT,25/10/2021,57219.70184808077,57219.70184808077,56446.46263391752,56446.46263391752,,,3596425
FPT,22/10/2021,57695.54136448892,57933.461122693,57160.22190852975,57219.70184808077,,,2801900
FPT,21/10/2021,58528.2605182032,58587.74045775421,57517.10154583586,57517.10154583586,,,2415600
FPT,20/10/2021,58706.70033685625,59182.53985326441,57457.62160628485,58052.42100179504,,,2248600
FPT,19/10/2021,58885.14015550931,59182.53985326441,58647.22039730523,58647.22039730523,,,2031900
FPT,18/10/2021,58885.14015550931,59479.93955101951,58647.22039730523,58885.14015550931,,,2504100
FPT,15/10/2021,59123.05991371339,59539.41949057053,58528.2605182032,58825.66021595829,,,1702500
FPT,14/10/2021,59123.05991371339,59479.93955101951,58528.2605182032,58766.18027640727,,,2487400
FPT,13/10/2021,58885.14015550931,60372.1386442848,58587.74045775421,59123.05991371339,,,3760100
FPT,12/10/2021,59004.10003461135,59004.10003461135,58587.74045775421,58885.14015550931,,,4936439
FPT,11/10/2021,58885.14015550931,59063.57997416237,58468.78057865218,59004.10003461135,,,2539300
FPT,08/10/2021,56505.94257346853,59182.53985326441,56149.062936162416,58825.66021595829,,,8665000
FPT,07/10/2021,56446.46263391752,56505.94257346853,55970.62311750936,56089.5829966114,,,1597000
FPT,06/10/2021,56208.54287571344,56327.50275481548,55732.70335930528,56149.062936162416,,,2223400
FPT,05/10/2021,56505.94257346853,57100.74196897873,56149.062936162416,56149.062936162416,,,1856761
FPT,04/10/2021,55316.343782448144,56624.90245257057,54959.464145142025,56268.022815264456,,,3233100
FPT,01/10/2021,55256.86384289712,55375.82372199917,55018.944084693045,55256.86384289712,,,3863388
FPT,30/09/2021,55613.74348020324,55851.66323840732,55316.343782448144,55316.343782448144,,,1016900
FPT,29/09/2021,55316.343782448144,55554.26354065222,54899.984205591005,55435.30366155018,,,1657700
FPT,28/09/2021,54543.104568284885,55316.343782448144,54424.144689182845,55316.343782448144,,,2693000
FPT,27/09/2021,55256.86384289712,55613.74348020324,54781.024326488965,54781.024326488965,,,2192700
FPT,24/09/2021,55435.30366155018,55435.30366155018,55137.903963795085,55137.903963795085,,,1489000
FPT,23/09/2021,55435.30366155018,55792.1832988563,55316.343782448144,55375.82372199917,,,2099700
FPT,22/09/2021,55435.30366155018,55554.26354065222,55137.903963795085,55435.30366155018,,,2552300
FPT,21/09/2021,55554.26354065222,55911.143177958336,55018.944084693045,55613.74348020324,,,2697100
FPT,20/09/2021,57100.74196897873,57219.70184808077,55970.62311750936,56149.062936162416,,,2764400
FPT,17/09/2021,56803.34227122363,57695.54136448892,56743.86233167261,56922.30215032567,,,4569300
FPT,16/09/2021,56149.062936162416,56505.94257346853,56030.103057060376,56327.50275481548,,,2428700
FPT,15/09/2021,55792.1832988563,56149.062936162416,55494.7836011012,55970.62311750936,,,2137100
FPT,14/09/2021,55494.7836011012,56327.50275481548,55316.343782448144,55792.1832988563,,,2743300
FPT,13/09/2021,55673.22341975426,55911.143177958336,55256.86384289712,55316.343782448144,,,1800000
FPT,10/09/2021,55554.26354065222,56149.062936162416,55554.26354065222,55613.74348020324,,,1480100
FPT,09/09/2021,55375.82372199917,55851.66323840732,55197.3839033461,55435.30366155018,,,1493700
FPT,08/09/2021,55613.74348020324,56030.103057060376,55197.3839033461,55375.82372199917,,,1623800
FPT,07/09/2021,56684.38239212159,56684.38239212159,55613.74348020324,55613.74348020324,,,2570600
FPT,06/09/2021,54959.464145142025,56446.46263391752,54899.984205591005,56446.46263391752,,,3175000
FPT,01/09/2021,54781.024326488965,55316.343782448144,54781.024326488965,54959.464145142025,,,1593300
FPT,31/08/2021,54899.984205591005,55435.30366155018,54721.544386937945,54959.464145142025,,,2377500
FPT,30/08/2021,55316.343782448144,55316.343782448144,54781.024326488965,54840.50426603999,,,1660867
FPT,27/08/2021,54126.74499142775,54721.544386937945,53888.82523322367,54721.544386937945,,,2345800
FPT,26/08/2021,54721.544386937945,55256.86384289712,54245.70487052979,54364.66474963183,,,1998700
FPT,25/08/2021,54959.464145142025,54959.464145142025,54126.74499142775,54662.064447386925,,,1984700
FPT,24/08/2021,54424.144689182845,54721.544386937945,53472.46565636653,54662.064447386925,,,5209965
FPT,23/08/2021,55018.944084693045,55018.944084693045,54126.74499142775,54126.74499142775,,,4631200
FPT,20/08/2021,56208.54287571344,56327.50275481548,54186.22493097877,55197.3839033461,,,5406200
FPT,19/08/2021,56505.94257346853,56505.94257346853,55792.1832988563,56208.54287571344,,,3142900
FPT,18/08/2021,55792.1832988563,56446.46263391752,55792.1832988563,55911.143177958336,,,2015000
FPT,17/08/2021,55970.62311750936,56268.022815264456,55613.74348020324,55792.1832988563,,,3254100
FPT,16/08/2021,56505.94257346853,56624.90245257057,56149.062936162416,56268.022815264456,,,2018600
FPT,13/08/2021,54792.9203128996,55911.143176428166,54734.066477977045,55911.143176428166,,,4133200
FPT,12/08/2021,56381.97385580861,56499.68152565372,54969.48181766727,55204.89715735749,,,8924200
FPT,11/08/2021,57500.196719337175,57559.05055425973,56558.53536057628,56558.53536057628,,,5798100
FPT,10/08/2021,57853.31972887251,57912.17356379506,57441.34288441462,57559.05055425973,,,2980700
FPT,09/08/2021,57088.21987487928,57500.196719337175,56440.82769073117,57382.48904949206,,,3731500
FPT,06/08/2021,56970.51220503417,57205.92754472439,56381.97385580861,56852.80453518906,,,4405400
FPT,05/08/2021,56028.85084627327,57088.21987487928,55852.28934150561,56852.80453518906,,,3046100
FPT,04/08/2021,56440.82769073117,56617.38919549884,55852.28934150561,56264.2661859635,,,3253400
FPT,03/08/2021,56381.97385580861,56499.68152565372,55734.5816716605,56381.97385580861,,,3742200
FPT,02/08/2021,55322.6048272026,56852.80453518906,55322.6048272026,56264.2661859635,,,4789500
FPT,30/07/2021,55028.33565258983,55793.43550658305,54616.35880813193,55322.6048272026,,,7597700
FPT,29/07/2021,54145.52812875148,55263.750992280045,53968.96662398382,54969.48181766727,,,3863200
FPT,28/07/2021,54616.35880813193,55146.04332243493,53968.96662398382,54145.52812875148,,,3366700
