STT;Mã;Tên;Lĩnh vực;Cơ quan công bố
1287;1.012646.000.00.00.H24;THỦ TỤC ĐỀ NGHỊ MỜI CHỨC SẮC, NHÀ TU HÀNH LÀ NGƯỜI NƯỚC NGOÀI ĐẾN GIẢNG ĐẠO CHO TỔ CHỨC ĐƯỢC CẤP CHỨNG NHẬN ĐĂNG KÝ HOẠT ĐỘNG TÔN GIÁO CÓ ĐỊA BÀN HOẠT ĐỘNG Ở MỘT TỈNH (CẤP TỈNH);Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1288;1.012648.000.00.00.H24;THỦ TỤC ĐỀ NGHỊ MỜI TỔ CHỨC, CÁ NHÂN NƯỚC NGOÀI VÀO VIỆT NAM THỰC HIỆN HOẠT ĐỘNG TÔN GIÁO Ở MỘT TỈNH (CẤP TỈNH);Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1289;1.012658.000.00.00.H24;THỦ TỤC ĐỀ NGHỊ SINH HOẠT TÔN GIÁO TẬP TRUNG CỦA NGƯỜI NƯỚC NGOÀI CƯ TRÚ HỢP PHÁP TẠI VIỆT NAM (CẤP TỈNH);Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1290;1.012645.000.00.00.H24;THỦ TỤC ĐỀ NGHỊ THAY ĐỔI TÊN CỦA TỔ CHỨC TÔN GIÁO, TỔ CHỨC TÔN GIÁO TRỰC THUỘC CÓ ĐỊA BÀN HOẠT ĐỘNG Ở MỘT TỈNH (CẤP TỈNH);Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1291;1.012656.000.00.00.H24;THỦ TỤC ĐỀ NGHỊ THAY ĐỔI ĐỊA ĐIỂM SINH HOẠT TÔN GIÁO TẬP TRUNG CỦA NGƯỜI NƯỚC NGOÀI CƯ TRÚ HỢP PHÁP TẠI VIỆT NAM TRONG ĐỊA BÀN MỘT TỈNH (CẤP TỈNH);Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1292;1.012653.000.00.00.H24;THỦ TỤC ĐỀ NGHỊ THAY ĐỔI ĐỊA ĐIỂM SINH HOẠT TÔN GIÁO TẬP TRUNG CỦA NGƯỜI NƯỚC NGOÀI CƯ TRÚ HỢP PHÁP TẠI VIỆT NAM ĐẾN ĐỊA BÀN TỈNH KHÁC (CẤP TỈNH);Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1293;1.012584.000.00.00.H24;THỦ TỤC ĐỀ NGHỊ THAY ĐỔI ĐỊA ĐIỂM SINH HOẠT TÔN GIÁO TẬP TRUNG TRONG ĐỊA BÀN MỘT XÃ (CÁP XÃ);Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1294;1.012582.000.00.00.H24;THỦ TỤC ĐỀ NGHỊ THAY ĐỔI ĐỊA ĐIỂM SINH HOẠT TÔN GIÁO TẬP TRUNG ĐẾN ĐỊA BÀN XÃ KHÁC (CẤP XÃ);Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1295;1.012661.000.00.00.H24;THỦ TỤC ĐỀ NGHỊ THÀNH LẬP, CHIA, TÁCH, SÁP NHẬP, HỢP NHẤT TỔ CHỨC TÔN GIÁO TRỰC THUỘC CÓ ĐỊA BÀN HOẠT ĐỘNG Ở MỘT TỈNH (CẤP TỈNH);Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1296;1.013797.H24;THỦ TỤC ĐỀ NGHỊ TỔ CHỨC CUỘC LỄ NGOÀI CƠ SỞ TÔN GIÁO, ĐỊA ĐIỂM HỢP PHÁP ĐÃ ĐĂNG KÝ CÓ QUY MÔ TỔ CHỨC Ở MỘT XÃ;Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1297;1.012606.000.00.00.H24;THỦ TỤC ĐỀ NGHỊ TỔ CHỨC CUỘC LỄ NGOÀI CƠ SỞ TÔN GIÁO, ĐỊA ĐIỂM HỢP PHÁP ĐÃ ĐĂNG KÝ CÓ QUY MÔ TỔ CHỨC Ở NHIỀU XÃ THUỘC MỘT TỈNH HOẶC Ở NHIỀU TỈNH (CẤP TỈNH);Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1298;1.013796.H24;THỦ TỤC ĐỀ NGHỊ TỔ CHỨC ĐẠI HỘI CỦA TỔ CHỨC TÔN GIÁO, TỔ CHỨC TÔN GIÁO TRỰC THUỘC, TỔ CHỨC ĐƯỢC CẤP CHỨNG NHẬN ĐĂNG KÝ HOẠT ĐỘNG TÔN GIÁO CÓ ĐỊA BÀN HOẠT ĐỘNG Ở MỘT XÃ;Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1299;1.012607.000.00.00.H24;THỦ TỤC ĐỀ NGHỊ TỔ CHỨC ĐẠI HỘI CỦA TỔ CHỨC TÔN GIÁO, TỔ CHỨC TÔN GIÁO TRỰC THUỘC, TỔ CHỨC ĐƯỢC CẤP CHỨNG NHẬN ĐĂNG KÝ HOẠT ĐỘNG TÔN GIÁO CÓ ĐỊA BÀN HOẠT ĐỘNG Ở NHIỀU XÃ THUỘC MỘT TỈNH (CẤP TỈNH);Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1300;1.012639.000.00.00.H24;THỦ TỤC ĐỀ NGHỊ TỰ GIẢI THỂ CỦA TỔ CHỨC TÔN GIÁO CÓ ĐỊA BÀN HOẠT ĐỘNG Ở MỘT TỈNH THEO QUY ĐỊNH CỦA HIẾN CHƯƠNG (CẤP TỈNH);Tín ngưỡng, tôn giáo;UBND Thành phố Hải Phòng
1301;2.000888.000.00.00.H24;Tham gia bảo hiểm thất nghiệp;Việc làm;UBND Thành phố Hải Phòng
1302;1.010736.000.00.00.H24;Tham vấn trong đánh giá tác động môi trường (cấp xã) (1.010736);Môi trường;UBND Thành phố Hải Phòng
1303;1.012921.H24;Thanh lý rừng trồng thuộc thẩm quyền quyết định của địa phương;Lâm nghiệp;UBND Thành phố Hải Phòng
1304;3.000326.H24;"Thanh lý tài sản kết cấu hạ tầng thủy lợi; xử lý tài sản kết cấu hạ tầng thủy lợi trong trường hợp bị mất, hủy hoại";Quản lý công sản;UBND Thành phố Hải Phòng
1305;3.000325.H24;Thanh toán chi phí liên quan đến xử lý tài sản kết cấu hạ tầng thủy lợi;Quản lý công sản;UBND Thành phố Hải Phòng
1306;1.012996.H24;Thanh toán, xóa nợ tiền sử dụng đất đối với hộ gia đình, cá nhân được ghi nợ;Tài chính đất đai;UBND Thành phố Hải Phòng
1307;1.010594.000.00.00.H24;"Thay thế chủ tịch, thư ký, thành viên hội đồng quản trị trường trung cấp tư thục; chấm dứt hoạt động hội đồng quản trị";Giáo dục nghề nghiệp (G07-LĐ06);UBND Thành phố Hải Phòng
1308;1.009467.000.00.00.H24;Thay đổi Chủ tịch Hội đồng thương lượng tập thể, đại diện Ủy ban nhân dân cấp tỉnh, chức năng, nhiệm vụ, kế hoạch, thời gian hoạt động của Hội đồng thương lượng tập thể.;Lao động, tiền lương;UBND Thành phố Hải Phòng
1309;1.002055.000.00.00.H24;Thay đổi người đại diện theo pháp luật của Văn phòng luật sư, công ty luật trách nhiệm hữu hạn một thành viên;Luật sư;UBND Thành phố Hải Phòng
1310;1.002079.000.00.00.H24;Thay đổi người đại diện theo pháp luật của công ty luật trách nhiệm hữu hạn hai thành viên trở lên, công ty luật hợp danh;Luật sư;UBND Thành phố Hải Phòng
1311;1.008926.000.00.00.H24;Thay đổi nơi tập sự hành nghề Thừa phát lại;Thừa phát lại;UBND Thành phố Hải Phòng
1312;1.013810.H24;Thay đổi nơi tập sự hành nghề công chứng từ tổ chức hành nghề công chứng này sang tổ chức hành nghề công chứng khác trong cùng một tỉnh, thành phố trực thuộc Trung ương;Công chứng;UBND Thành phố Hải Phòng
1313;1.013812.H24;Thay đổi nơi tập sự hành nghề công chứng từ tổ chức hành nghề công chứng tại tỉnh, thành phố trực thuộc Trung ương này sang tổ chức hành nghề công chứng tại tỉnh, thành phố trực thuộc Trung ương khác;Công chứng;UBND Thành phố Hải Phòng
1314;1.001609.H24;Thay đổi nội dung Giấy phép thành lập của Chi nhánh của Tổ chức trọng tài nước ngoài tại Việt Nam;Trọng tài thương mại;UBND Thành phố Hải Phòng
1315;2.000819.H24;Thay đổi nội dung Giấy phép thành lập của Trung tâm Trọng tài;Trọng tài thương mại;UBND Thành phố Hải Phòng
1316;1.008905.H24;Thay đổi nội dung Giấy đăng ký hoạt động của Chi nhánh Trung tâm trọng tài khi thay đổi Trưởng Chi nhánh, địa điểm đặt trụ sở của Chi nhánh trong phạm vi tỉnh, thành phố trực thuộc trung ương;Trọng tài thương mại;UBND Thành phố Hải Phòng
1317;1.008904.000.00.00.H24;"Thay đổi nội dung Giấy đăng ký hoạt động của Trung tâm trọng tài; thay đổi nội dung Giấy đăng ký hoạt động của Chi nhánh Tổ chức trọng tài nước ngoài tại Việt Nam";Trọng tài thương mại;UBND Thành phố Hải Phòng
1318;1.002198.000.00.00.H24;Thay đổi nội dung Giấy đăng ký hoạt động của chi nhánh, công ty luật nước ngoài;Luật sư;UBND Thành phố Hải Phòng
1319;1.000588.000.00.00.H24;Thay đổi nội dung đăng ký hoạt động của Trung tâm tư vấn pháp luật, chi nhánh;Tư vấn pháp luật;UBND Thành phố Hải Phòng
1320;1.008931.000.00.00.H24;Thay đổi nội dung đăng ký hoạt động của Văn phòng Thừa phát lại;Thừa phát lại;UBND Thành phố Hải Phòng
1321;1.013836.H24;Thay đổi nội dung đăng ký hoạt động của Văn phòng công chứng;Công chứng;UBND Thành phố Hải Phòng
1322;1.013848.H24;Thay đổi nội dung đăng ký hoạt động của Văn phòng công chứng nhận chuyển nhượng vốn góp;Công chứng;UBND Thành phố Hải Phòng
1323;1.013843.H24;Thay đổi nội dung đăng ký hoạt động của Văn phòng công chứng nhận sáp nhập;Công chứng;UBND Thành phố Hải Phòng
1324;1.013853.H24;Thay đổi nội dung đăng ký hoạt động của Văn phòng công chứng được bán;Công chứng;UBND Thành phố Hải Phòng
1325;1.013634.H24;Thay đổi nội dung đăng ký hoạt động của chi nhánh doanh nghiệp đấu giá tài sản;Đấu giá tài sản;UBND Thành phố Hải Phòng
1326;2.001333.000.00.00.H24;Thay đổi nội dung đăng ký hoạt động của doanh nghiệp đấu giá tài sản;Đấu giá tài sản;UBND Thành phố Hải Phòng
1327;1.002032.000.00.00.H24;Thay đổi nội dung đăng ký hoạt động của tổ chức hành nghề luật sư;Luật sư;UBND Thành phố Hải Phòng
1328;1.008937.000.00.00.H24;Thay đổi nội dung đăng ký hoạt động sau khi chuyển nhượng Văn phòng Thừa phát lại;Thừa phát lại;UBND Thành phố Hải Phòng
1329;1.008727.H24;Thay đổi thành viên hợp danh của công ty hợp danh hoặc thay đổi chủ doanh nghiệp tư nhân của doanh nghiệp quản lý, thanh lý tài sản;Quản tài viên;UBND Thành phố Hải Phòng
1330;3.000130.H24;Thay đổi thông tin sản phẩm thức ăn bổ sung;Chăn nuôi;UBND Thành phố Hải Phòng
1331;1.001600.000.00.00.H24;Thay đổi thông tin đăng ký hành nghề của Quản tài viên;Quản tài viên;UBND Thành phố Hải Phòng
1332;1.008916.000.00.00.H24;"Thay đổi tên gọi, Trưởng chi nhánh, địa chỉ trụ sở sang tỉnh, thành phố trực thuộc trung ương khác của chi nhánh tổ chức hòa giải thương mại nước ngoài tại Việt Nam; đăng ký hoạt động của chi nhánh tổ chức hoà giải thương mại nước ngoài tại Việt Nam khi thay đổi tên gọi, Trưởng chi nhánh";Hòa giải thương mại;UBND Thành phố Hải Phòng
1333;1.008910.H24;"Thay đổi tên gọi, địa chỉ trụ sở Trung tâm hòa giải thương mại sang tỉnh, thành phố trực thuộc Trung ương khác; đăng ký hoạt động Trung tâm hoà giải thương mại khi thay đổi địa chỉ trụ sở sang tỉnh, thành phố trực thuộc trung ương khác";Hòa giải thương mại;UBND Thành phố Hải Phòng
1334;1.001633.000.00.00.H24;Thay đổi tên, địa chỉ trụ sở, văn phòng đại diện, chi nhánh, người đại diện theo pháp luật, danh sách Quản tài viên hành nghề trong doanh nghiệp quản lý, thanh lý tài sản;Quản tài viên;UBND Thành phố Hải Phòng
1335;2.000568.000.00.00.H24;Thay đổi, bổ sung lĩnh vực giám định của Văn phòng giám định tư pháp;Giám định tư pháp;UBND Thành phố Hải Phòng
1336;2.001254.H24;Thay đổi, bổ sung phạm vi chỉ định cơ sở kiểm nghiệm phục vụ quản lý nhà nước;Quản lý chất lượng nông lâm sản và thủy sản;UBND Thành phố Hải Phòng
1337;1.014392.H24;Thay đổi, bổ sung, cấp lại Giấy chứng nhận đăng ký văn phòng đại diện, chi nhánh của tổ chức khoa học và công nghệ;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1338;1.014390.H24;Thay đổi, bổ sung, cấp lại giấy chứng nhận đăng ký tổ chức khoa học và công nghệ (Sở Khoa học và Công nghệ);Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1339;1.002968.H24;Thay đổi, chấm dứt thông tin đã thông báo về ứng dụng bán hàng;Thương mại điện tử;UBND Thành phố Hải Phòng
1340;1.000758.H24;Thay đổi, chấm dứt thông tin đã thông báo website thương mại điện tử bán hàng;Thương mại điện tử;UBND Thành phố Hải Phòng
1341;1.014111.H24;Thi tuyển công chức;Công chức, viên chức;UBND Thành phố Hải Phòng
1342;1.009448.000.00.00.H24;Thiết lập khu neo đậu;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
1343;1.012000.000.00.00.H24;Thu hồi Giấy chứng nhận tổ chức giám định quyền đối với giống cây trồng theo yêu cầu của tổ chức, cá nhân;Trồng trọt;UBND Thành phố Hải Phòng
1344;1.012791.000.00.00.H24;Thu hồi Giấy chứng nhận đã cấp không đúng quy định của pháp luật đất đai do người sử dụng đất, chủ sở hữu tài sản gắn liền với đất phát hiện và cấp lại Giấy chứng nhận sau khi thu hồi;Đất đai;UBND Thành phố Hải Phòng
1345;1.012818.H24;Thu hồi Giấy chứng nhận đã cấp lần đầu không đúng quy định của pháp luật đất đai do người sử dụng đất, chủ sở hữu tài sản gắn liền với đất phát hiện và cấp lại Giấy chứng nhận sau khi thu hồi;Đất đai;UBND Thành phố Hải Phòng
1346;1.010937.H24;Thu hồi Giấy phép hoạt động cai nghiện ma túy trong trường hợp cơ sở cai nghiện có văn bản đề nghị dừng hoạt động cai nghiện ma túy tự nguyện;Phòng, chống tệ nạn xã hội;UBND Thành phố Hải Phòng
1347;1.000436.000.00.00.H24;Thu hồi Giấy phép hoạt động cho thuê lại lao động;Lao động, tiền lương;UBND Thành phố Hải Phòng
1348;1.009873.000.00.00.H24;Thu hồi Giấy phép hoạt động dịch vụ việc làm của doanh nghiệp hoạt động dịch vụ việc làm;Việc làm;UBND Thành phố Hải Phòng
1349;1.013832.H24;Thu hồi Thẻ công chứng viên;Công chứng;UBND Thành phố Hải Phòng
1350;1.011999.000.00.00.H24;Thu hồi Thẻ giám định viên quyền đối với giống cây trồng theo yêu cầu của tổ chức, cá nhân;Trồng trọt;UBND Thành phố Hải Phòng
1351;1.013035.H24;Thu hồi Thẻ nhân viên tiếp cận cộng đồng đối với trường hợp nhân viên tiếp cận cộng đồng không tiếp tục tham gia thực hiện các biện pháp can thiệp giảm tác hại trong dự phòng lây nhiễm HIV;Phòng bệnh;UBND Thành phố Hải Phòng
1352;1.008614.H24;Thu hồi chứng chỉ hành nghề luật sư;Luật sư;UBND Thành phố Hải Phòng
1353;1.014021.H24;Thu hồi giấy chứng nhận cơ sở bảo tồn đa dạng sinh học trong trường hợp cơ sở bảo tồn đa dạng sinh học đề nghị thu hồi giấy chứng nhận;Bảo tồn thiên nhiên và Đa dạng sinh học;UBND Thành phố Hải Phòng
1354;1.014127.H24;Thu hồi giấy chứng nhận huấn luyện kỹ thuật an toàn trong khai thác khoáng sản;Khoáng sản;UBND Thành phố Hải Phòng
1355;1.013909.H24;Thu hồi giấy phép cung cấp dịch vụ viễn thông có hạ tầng mạng, loại mạng viễn thông công cộng cố định mặt đất không sử dụng băng tần số vô tuyến điện, không sử dụng số thuê bao viễn thông có phạm vi thiết lập mạng viễn thông trong một tỉnh, thành phố trực thuộc trung ương;Viễn thông và Internet;UBND Thành phố Hải Phòng
1356;1.013908.H24;Thu hồi giấy phép cung cấp dịch vụ viễn thông không có hạ tầng mạng, loại hình dịch vụ viễn thông cố định mặt đất (dịch vụ viễn thông cung cấp trên mạng viễn thông cố định mặt đất) và giấy chứng nhận đăng ký cung cấp dịch vụ viễn thông;Viễn thông và Internet;UBND Thành phố Hải Phòng
1357;1.013421.H24;Thu hồi giấy phép hoạt động điện lực thuộc thẩm quyền của Ủy ban nhân dân cấp tỉnh;Điện;UBND Thành phố Hải Phòng
1358;1.012276.000.00.00.H24;Thu hồi giấy phép hành nghề đối với trường hợp quy định tại điểm i khoản 1 Điều 35 của Luật Khám bệnh, chữa bệnh;Khám bệnh, chữa bệnh;UBND Thành phố Hải Phòng
1359;1.003401.000.00.00.H24;Thu hồi giấy phép, giấy chứng nhận về quản lý, sử dụng vật liệu nổ công nghiệp, tiền chất thuốc nổ;Vật liệu nổ công nghiệp, tiền chất thuốc nổ;UBND Thành phố Hải Phòng
1360;1.000404.000.00.00.H24;Thu hồi thẻ tư vấn viên pháp luật;Tư vấn pháp luật;UBND Thành phố Hải Phòng
1361;1.012569.H24;Thu hồi tài sản kết cấu hạ tầng chợ;Tài sản kết cấu hạ tầng chợ do Nhà nước đầu tư, quản lý;UBND Thành phố Hải Phòng
1362;3.000324.H24;Thu hồi tài sản kết cấu hạ tầng thủy lợi;Quản lý công sản;UBND Thành phố Hải Phòng
1363;1.005108.000.00.00.H24;Thuyên chuyển đối tượng học bổ túc trung học cơ sở;Giáo dục trung học;UBND Thành phố Hải Phòng
1364;1.013916.H24;Thủ tục cấp Chứng chỉ hành nghề dịch vụ đại diện sở hữu công nghiệp;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1365;1.013956.H24;Thủ tục cấp Thẻ giám định viên sở hữu công nghiệp;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1366;1.013958.H24;Thủ tục cấp lại Thẻ giám định viên sở hữu công nghiệp;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1367;1.013925.H24;Thủ tục ghi nhận người đại diện sở hữu công nghiệp;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1368;1.013928.H24;Thủ tục ghi nhận thay đổi thông tin của tổ chức dịch vụ đại diện sở hữu công nghiệp;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1369;1.013924.H24;Thủ tục ghi nhận tổ chức đủ điều kiện kinh doanh dịch vụ đại diện sở hữu công nghiệp;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1370;1.013959.H24;Thủ tục thu hồi Thẻ giám định viên sở hữu công nghiệp;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1371;1.013922.H24;Thủ tục thu hồi chứng chỉ hành nghề dịch vụ đại diện sở hữu công nghiệp;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1372;1.013942.H24;Thủ tục xóa tên tổ chức dịch vụ đại diện sở hữu công nghiệp;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1373;1.013954.H24;Thủ tục xóa tên người đại diện sở hữu công nghiệp;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1374;1.013974.H24;Thủ tục yêu cầu chấm dứt quyền sử dụng sáng chế theo quyết định bắt buộc;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1375;1.013963.H24;Thủ tục đăng ký dự kiểm tra nghiệp vụ giám định sở hữu công nghiệp;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1376;1.013955.H24;Thủ tục đăng ký dự kiểm tra nghiệp vụ đại diện sở hữu công nghiệp;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1377;1.009466.000.00.00.H24;Thành lập Hội đồng thương lượng tập thể;Lao động, tiền lương;UBND Thành phố Hải Phòng
1378;1.008929.000.00.00.H24;Thành lập Văn phòng Thừa phát lại;Thừa phát lại;UBND Thành phố Hải Phòng
1379;1.013834.H24;Thành lập Văn phòng công chứng;Công chứng;UBND Thành phố Hải Phòng
1380;2.000529.000.00.00.H24;Thành lập doanh nghiệp do Nhà nước nắm giữ 100% vốn điều lệ do cơ quan đại diện chủ sở hữu (Ủy ban nhân dân cấp tỉnh) quyết định thành lập;Thành lập và sắp xếp lại doanh nghiệp do Nhà nước nắm giữ 100 phần trăm vốn điều lệ;UBND Thành phố Hải Phòng
1381;1.012971.H24;Thành lập hoặc cho phép thành lập cơ sở giáo dục mầm non độc lập;Giáo dục mầm non;UBND Thành phố Hải Phòng
1382;3.000306.H24;Thành lập hoặc cho phép thành lập lớp dành cho người khuyết tật trong trường trung học phổ thông và trung tâm giáo dục thường xuyên, trung tâm giáo dục nghề nghiệp - giáo dục thường xuyên thực hiện chương trình giáo dục thường xuyên cấp trung học phổ thông;Các cơ sở giáo dục khác;UBND Thành phố Hải Phòng
1383;1.012969.H24;Thành lập hoặc cho phép thành lập trung tâm học tập cộng đồng;Giáo dục thường xuyên;UBND Thành phố Hải Phòng
1384;3.000315.H24;Thành lập hoặc cho phép thành lập trung tâm khác thực hiện nhiệm vụ giáo dục thường xuyên;Giáo dục thường xuyên;UBND Thành phố Hải Phòng
1385;3.000301.H24;Thành lập hoặc cho phép thành lập trường dành cho người khuyết tật;Các cơ sở giáo dục khác;UBND Thành phố Hải Phòng
1386;1.012961.H24;Thành lập hoặc cho phép thành lập trường mẫu giáo, trường mầm non, nhà trẻ;Giáo dục mầm non;UBND Thành phố Hải Phòng
1387;1.012959.H24;Thành lập hoặc cho phép thành lập trường năng khiếu nghệ thuật, thể dục, thể thao;Các cơ sở giáo dục khác;UBND Thành phố Hải Phòng
1388;1.012963.H24;Thành lập hoặc cho phép thành lập trường tiểu học;Giáo dục tiểu học;UBND Thành phố Hải Phòng
1389;1.012964.H24;Thành lập hoặc cho phép thành lập trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở;Giáo dục trung học;UBND Thành phố Hải Phòng
1390;1.012958.H24;Thành lập hoặc cho phép thành lập trường trung học phổ thông chuyên;Các cơ sở giáo dục khác;UBND Thành phố Hải Phòng
1391;1.012944.H24;Thành lập hoặc cho phép thành lập trường trung học phổ thông, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học phổ thông;Giáo dục trung học;UBND Thành phố Hải Phòng
1392;1.013703.H24;Thành lập hội;Quản lý nhà nước về hội, quỹ;UBND Thành phố Hải Phòng
1393;3.000309.H24;Thành lập lớp dành cho người khuyết tật trong trường mầm non, trường tiểu học, trường trung học cơ sở và trung tâm giáo dục thường xuyên, trung tâm giáo dục nghề nghiệp - giáo dục thường xuyên thực hiện các chương trình xóa mù chữ và chương trình giáo dục thường xuyên cấp trung học cơ sở;Các cơ sở giáo dục khác;UBND Thành phố Hải Phòng
1394;1.010927.000.00.00.H24;"Thành lập phân hiệu của trường trung cấp công lập trực thuộc tỉnh, thành phố trực thuộc trung ương; cho phép thành lập phân hiệu của trường trung cấp tư thục trên địa bàn";Giáo dục nghề nghiệp;UBND Thành phố Hải Phòng
1395;2.000451.H24;Thành lập văn phòng đại diện của cơ sở giáo dục nước ngoài tại Việt Nam;Giáo dục, đào tạo với nước ngoài;UBND Thành phố Hải Phòng
1396;2.000130.H24;Thành lập văn phòng đại diện của tổ chức, cơ sở giáo dục nghề nghiệp nước ngoài tại Việt Nam;Giáo dục nghề nghiệp (G07-LĐ06);UBND Thành phố Hải Phòng
1397;1.014394.H24;Thành lập đơn vị trực thuộc ở nước ngoài của tổ chức khoa học và công nghệ (Sở Khoa học và Công nghệ);Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1398;1.013820.H24;Thành lập, tổ chức lại, giải thể cơ sở trợ giúp xã hội công lập thuộc Ủy ban nhân dân cấp tỉnh, cơ quan chuyên môn thuộc Ủy ban nhân dân cấp tỉnh;Bảo trợ xã hội;UBND Thành phố Hải Phòng
1399;2.000822.H24;Thành lập, đăng ký hoạt động Trung tâm trọng tài;Trọng tài thương mại;UBND Thành phố Hải Phòng
1400;1.012427.000.00.00.H24;Thành lập/mở rộng cụm công nghiệp;Cụm Công nghiệp;UBND Thành phố Hải Phòng
1401;1.010596.000.00.00.H24;Thôi công nhận hiệu trưởng trường trung cấp tư thục;Giáo dục nghề nghiệp (G07-LĐ06);UBND Thành phố Hải Phòng
1402;2.002226.000.00.00.H24;Thông báo thành lập/thay đổi tổ hợp tác;Thành lập và hoạt động của tổ hợp tác;UBND Thành phố Hải Phòng
1403;2.002649.000.00.00.H24;Thông báo bổ sung, cập nhật thông tin trong hồ sơ đăng ký hợp tác xã, liên hiệp hợp tác xã;Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã;UBND Thành phố Hải Phòng
1404;2.000619.000.00.00.H24;Thông báo chấm dứt hoạt động bán hàng đa cấp tại địa phương;Quản lý bán hàng đa cấp;UBND Thành phố Hải Phòng
1405;2.002228.000.00.00.H24;Thông báo chấm dứt hoạt động của tổ hợp tác;Thành lập và hoạt động của tổ hợp tác;UBND Thành phố Hải Phòng
1406;1.013897.H24;Thông báo cung cấp dịch vụ viễn thông đối với doanh nghiệp cung cấp dịch vụ viễn thông cơ bản trên Internet, dịch vụ điện toán đám mây, dịch vụ thư điện tử, dịch vụ thư thoại, dịch vụ fax gia tăng giá trị;Viễn thông và Internet;UBND Thành phố Hải Phòng
1407;2.000005.000.00.00.H24;Thông báo gia hạn thời gian hoạt động quỹ đầu tư khởi nghiệp sáng tạo (cấp tỉnh);Hỗ trợ doanh nghiệp nhỏ và vừa;UBND Thành phố Hải Phòng
1408;2.002005.000.00.00.H24;Thông báo giải thể và kết quả giải thể quỹ đầu tư khởi nghiệp sáng tạo (cấp tỉnh);Hỗ trợ doanh nghiệp nhỏ và vừa;UBND Thành phố Hải Phòng
1409;1.014102.H24;Thông báo hoạt động bán lẻ thuốc lưu động;Dược phẩm;UBND Thành phố Hải Phòng
1410;2.000033.000.00.00.H24;Thông báo hoạt động khuyến mại;Xúc tiến thương mại;UBND Thành phố Hải Phòng
1411;1.010023.000.00.00.H24;Thông báo hủy bỏ nghị quyết, quyết định giải thể doanh nghiệp;Thành lập và hoạt động của doanh nghiệp;UBND Thành phố Hải Phòng
1412;1.013706.H24;Thông báo kết quả đại hội và phê duyệt đổi tên hội, phê duyệt điều lệ hội;Quản lý nhà nước về hội, quỹ;UBND Thành phố Hải Phòng
1413;1.009461.000.00.00.H24;Thông báo luồng đường thủy nội địa chuyên dùng;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
1414;2.002646.000.00.00.H24;Thông báo lập chi nhánh, văn phòng đại diện ở nước ngoài;Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã;UBND Thành phố Hải Phòng
1415;2.002070.000.00.00.H24;Thông báo lập chi nhánh, văn phòng đại diện ở nước ngoài (đối với doanh nghiệp tư nhân, công ty TNHH, công ty cổ phần, công ty hợp danh);Thành lập và hoạt động của doanh nghiệp;UBND Thành phố Hải Phòng
1416;1.012905.H24;Thông báo nhà ở hình thành trong tương lai đủ điều kiện được bán, cho thuê mua;Kinh doanh bất động sản;UBND Thành phố Hải Phòng
1417;2.001944.000.00.00.H24;Thông báo nhận chăm sóc thay thế cho trẻ em đối với cá nhân, người đại diện gia đình nhận chăm sóc thay thế là người thân thích của trẻ em;Trẻ em;UBND Thành phố Hải Phòng
1418;2.002676.H24;Thông báo phát triển điện mặt trời mái nhà tự sản xuất, tự tiêu thụ có đấu nối với hệ thống điện quốc gia;Điện lực;UBND Thành phố Hải Phòng
