Ticker,Period,Net Revenue,Revenue Growth,Gross Profit,Gross Profit Growth,Operating Profit,Operating Profit Growth,Profit Before Tax,Profit Before Tax Growth,Net Profit After Tax,Net Profit After Tax Growth,Total Assets,Total Assets Growth,Current Assets,Current Assets Growth,Non-Current Assets,Non-Current Assets Growth,Current Liabilities,Current Liabilities Growth,Short-term Debt,Short-term Debt Growth,Long-term Liabilities,Long-term Liabilities Growth,Equity,Equity Growth,Charter Capital,Charter Capital Growth,P/E,P/B,EV/EBITDA,EPS (VND/Share),EPS Growth,Book Value (VND/Share),Gross Margin,EBIT Margin,EBITDA Margin,Net Profit Margin,ROE LTM,ROA LTM,Asset Turnover (turns),Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Conversion Cycle,Debt to Equity,"Vay và nợ thuê tài chính ngắn hạn, dài hạn / Vốn chủ sở hữu",Nợ vay ròng / Vốn chủ sở hữu,Tổng tài sản / Vốn chủ sở hữu,Khả năng thanh toán tổng quát,Khả năng thanh toán nhanh,Khả năng thanh toán tức thời,Khả năng thanh toán lãi vay,Vốn hóa (Tỷ đồng),Số lượng cổ phiếu lưu hành (Triệu CP)
IMP,Q2/2020,288701691915,0.0106,107064366071,0.0351,56613154276,0.3848,59298668488,0.4486,47311395695,0.4506,1940314858656,0.0513999999999999,868636938985,0.0622,1071677919671,0.0428,330060890588,-0.0839,79436427996,0.0001,23683151050.0,0.6232,1586570817018,0.0789,494211590000,,15.922899474318918,1.6668197435120875,10.229709982330409,709.6187429664548,0.0746,23796.811999747417,0.3707999999999999,0.2080999999999999,0.2545,0.1639,0.119,0.0960999999999999,0.1536722153165853,0.3288200813464691,359.05331582285817,769.0569254589934,180.157520051204,947.9527212306476,0.223,0.0501,-0.0212,1.2383339465656675,5.485081387297541,1.3698355017298072,0.3425688421447616,93.86990505263655,3166899575000,66671570
IMP,Q1/2020,303687071836,0.1118,127356268075,0.1121,51343564402,0.151,51392763113,0.1319,41114210490,0.1319,1817055220512,0.0745,747238915858,0.0775,1069816304654,0.0724,192846925287,0.4797,60250436664,5.025,24204817716.0,0.2214,1600003477509,0.0383,494211590000,,15.90622314372722,1.656922611725518,10.26948034494884,640.3727034472307,-0.129,24920.78870556487,0.4194,0.1724,0.2159,0.1354,0.1065,0.0953,0.1657576682197949,0.348974601943584,352.16276906487707,723.839342646493,177.13590461077624,898.8662071005938,0.1357,0.0377,-0.0123,1.116907579795217,8.371530195391637,2.065498950145053,0.4142931149723952,67.56791600819618,2921262207500,64203565
MSN,Q4/2024,22701531000000,0.0924,7062540000000,0.2245,3366541000000,2.7696,2656630000000,1.8028,691055000000,12.7908,147584718000000,0.0014,53569663000000,0.2241,94015055000000,-0.0926999999999999,58712175000000,0.1644,26724166000000,-0.0466,48120163000000.0,-0.1805999999999999,40752380000000,0.0658,15129281000000,0.0574,81.48851474139875,3.750944685435756,,480.4492808520269,12.718800000000002,21025.479196162367,0.3111,0.1843,0.2271999999999999,0.0681,0.1082,0.0289999999999999,0.1504029385718673,0.3365282609640684,37.75187199929379,275.9416991799535,183.41999237674605,130.27357880250125,2.6215,1.6085,1.1367,3.734265163773858,1.3814610890571355,0.7286779445660121,0.3274594920048524,3.37852563997576,97807909956000,1438351617
MSN,Q3/2024,21486895000000,0.0661,6420610000000,0.081,1593712000000,2.5976,1565750000000,1.6861000000000002,701071000000,13.4921,154291445000000,0.0635,43529968000000,-0.0902,110761477000000,0.1392,53667186000000,-0.0067,29466890000000,0.1469,59443956000000.0,0.1222,41180303000000,0.0816,15129281000000,0.0574,161.17590959344727,3.383052431989232,11.40452983420728,487.41280762922105,13.4165,20512.89243275485,0.2988,0.1523,0.207,0.0605,0.0818,0.0217,0.1378437329294294,0.2976915127495288,48.49756293312738,308.4129758928628,183.15916066900368,173.75137815698648,2.7467,1.5963999999999998,1.1998,3.777296990147491,1.3640693770026653,0.5715049788524407,0.3043318686394327,2.6052305282831223,100972283513400,1438351617
MSN,Q2/2024,20134396000000,0.0819999999999999,5917750000000,0.1108,1173665000000,1.5155,1168760000000,1.5921,502577000000,3.7731,157465855000000,0.1178999999999999,48982369000000,0.0675,108483486000000,0.1422,51329961000000,-0.1074,29351515000000,-0.0545,59929784000000.0,0.3076,46206110000000,0.2314,15129281000000,0.0626999999999999,353.22668811823354,4.072111309134491,12.18072046921892,349.411780860813,3.7482,23380.960262097025,0.2939,0.135,0.1817,0.047,0.0579999999999999,0.0163,0.1324682420642859,0.2828064140171463,54.44444223705543,325.65591244235804,174.66741381898373,205.4329408604297,2.4079,1.4689,0.9932,3.562913442216032,1.4152994418601266,0.7087526133129148,0.4281564718118527,2.3614900240280643,107013360304800,1438351617
MSN,Q1/2024,18854898000000,0.0079,5254838000000,0.0332,626631000000,0.1439,633663000000,0.09,104356000000,-0.5144,146522417000000,0.0051,42629110000000,-0.1736,103893307000000,0.1028999999999999,49428183000000,-0.1914,28205405000000,-0.2373,58260741000000.0,0.2251999999999999,38833493000000,0.0466,14308434000000,0.005,231.69892604879445,3.65258719610777,10.978309489457589,72.55249604241936,-0.5194,18582.80387360944,0.2787,0.1196,0.175,0.0254,0.0503,0.0131,0.1283056835924781,0.2671752797069663,60.40020927188257,348.1058482462577,188.073605925268,220.43245159287235,2.7731,1.7936,1.4377000000000002,3.8491910959605913,1.3606080510192486,0.6041659471884694,0.2796361945977257,2.0342395144454213,109602393215400,1438351617
MSN,Q4/2023,20781920000000,0.0067,5767833000000,0.0385,893065000000,-0.072,947833000000,0.0493,50110000000,-0.8879,147383472000000,0.0426999999999999,43763477000000,-0.0819999999999999,103619995000000,0.1061999999999999,50422500000000,-0.2281,28030197000000,-0.309,58723731000000.0,0.491,38237241000000,0.0437,14308434000000,0.005,112.36094469891556,3.421762973605511,10.833317043841218,35.02130267356455,-0.8885,18562.18499426764,0.2775,0.1259,0.177,0.0249,0.0499,0.013,0.1421199274549587,0.299193169431943,55.08256190958294,330.63822295688044,165.29988187093895,220.42090299552444,2.8544,1.8195,1.3769999999999998,3.8561632091682574,1.3503303838315772,0.6066460211215231,0.335550716446031,2.20418762215296,105166990341000,1430843406
MSN,Q3/2023,20154911000000,0.0324,5939635000000,0.095,442988000000,-0.5402,582905000000,-0.3586999999999999,48376000000,-0.9109,145072630000000,0.1296,47845660000000,0.3001,97226970000000,0.0611,54028721000000,-0.1506,25692693000000,-0.36,52970694000000.0,0.8129000000000001,38073215000000,0.0694,14308434000000,0.005,88.17106940440198,4.35774569733744,12.862607570557952,33.80943001669045,-0.9114,18718.420819280065,0.2946999999999999,0.1155,0.1666,0.024,0.0584999999999999,0.0158,0.1409774510310248,0.2946185739347041,61.52266512117072,358.5554422228594,174.52746608648332,245.55064125754683,2.8104,1.8022,1.4277000000000002,3.7123140303745656,1.3558263846582712,0.6259497055279173,0.263894216559374,1.9245792971251132,94721833477200,1430843406
MSN,Q2/2023,18608561000000,0.0434,5327477000000,0.0725,466572000000,-0.6325,450891000000,-0.6425,105294000000,-0.8926999999999999,140858359000000,0.1245,45883821000000,0.2463,94974538000000,0.0738,57503618000000,0.0986,31045015000000,0.0095,45830438000000.0,0.3432,37524303000000,-0.0327999999999999,14237248000000,,48.52058255349535,4.018626285421492,11.905484579427588,73.5887655899083,-0.8931999999999999,18518.74907406884,0.2863,0.1202,0.1711,0.0231,0.0659,0.0189,0.1298383518690343,0.2741413856893023,73.89843430128745,378.7023502750228,196.9082982985425,255.69248627776773,2.7538,1.814,1.4555,3.486850296649488,1.363135876520709,0.556167544101312,0.2339396279378456,1.7825385102519495,104594652978600,1430843406
MSN,Q1/2023,18706227000000,0.0283999999999999,5086167000000,-0.0006,547804000000,-0.7298,581345000000,-0.7197,214915000000,-0.8653,145783619000000,0.173,51583262000000,0.3452,94200357000000,0.0960999999999999,61125017000000,0.578,36980336000000,0.9278,47552494000000.0,-0.0258,37106108000000,0.01,14237248000000,0.206,37.07995016534922,5.027446765978008,12.843337131350305,150.95262972605008,-0.8653,18538.6735660975,0.2719,0.1244,0.1823999999999999,0.0235,0.0892999999999999,0.0243999999999999,0.1302995808459767,0.2770249264169799,77.47952941017984,376.5553345579975,203.8063255595056,250.2285384086717,2.9288,2.0393,1.4736000000000002,3.6572463869778775,1.3414331783877531,0.6204678356163075,0.3434570987522179,1.9540436924444,113186120248500,1423724783
