STT;Mã;Tên công ty;Sàn;Phân ngành - L1;Phân ngành - L2;Phân ngành - L3;Phân ngành - L4;Phân ngành - L5;"Vốn hóa
(tỷ VNĐ)"
851;PSE;Phân bón và hóa chất dầu khí Đông Nam Bộ;HNX;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Phân bón;119
852;SIV;SIVICO;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Hóa chất hàng hóa khác;115
853;PMB;Phân bón và Hóa chất Dầu khí Miền Bắc;HNX;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Hóa chất nông nghiệp Bán buôn;115
854;VXP;Thuốc Thú y Trung ương VETVACO;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Hóa chất hàng hóa khác;110
855;VNY;Thuốc thú y Trung ương I;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Hóa chất hàng hóa khác;102
856;DOC;Vật tư nông nghiệp Đồng Nai;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Hóa chất nông nghiệp Bán buôn;100
857;NSG;Nhựa Sài Gòn;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Nhựa, cao su & sợi;Nhựa;99
858;RDP;Nhựa Rạng Đông;HOSE;Nguyên vật liệu;Hóa chất;Hóa chất;Nhựa, cao su & sợi;Nhựa;93
859;SPC;BV Thực vật Sài Gòn;HNX;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Thuốc trừ sâu;85
860;LNC;Lệ Ninh - Quảng Bình;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Nhựa, cao su & sợi;Cao su;82
861;BT1;Bảo vệ thực vật 1 TW;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Thuốc trừ sâu;79
862;CPC;Thuốc sát trùng Cần Thơ;HNX;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Thuốc trừ sâu;73
863;PGN;Phụ Gia Nhựa;HNX;Nguyên vật liệu;Hóa chất;Hóa chất;Nhựa, cao su & sợi;Nhựa;63
864;RBC;Công Nghiệp và Xuất nhập khẩu Cao Su;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Nhựa, cao su & sợi;Cao su;61
865;PVO;Dầu nhờn PV Oil;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Hóa chất hàng hóa khác;61
866;QBS;Xuất nhập khẩu Quảng Bình;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Phân bón;55
867;PCN;Dầu khí DMC-Miền Bắc;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Hóa chất hàng hóa khác;53
868;APP;Phụ gia và SP Dầu mỏ;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Hóa chất hàng hóa khác;33
869;GER;Thể thao Ngôi sao Geru;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Nhựa, cao su & sợi;Cao su;20
870;HSI;Phân bón Hóa sinh;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Sản phẩm hóa dầu, Nông dược & Hóa chất khác;Phân bón;12
871;VKP;Nhựa Tân Hóa;UPCoM;Nguyên vật liệu;Hóa chất;Hóa chất;Nhựa, cao su & sợi;Nhựa;4
872;VCB;Vietcombank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;513.079
873;BID;BIDV;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;270.771
874;CTG;VietinBank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;185.802
875;TCB;Techcombank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;165.558
876;VPB;VPBank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;159.472
877;MBB;MBBank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;130.801
878;ACB;ACB;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;111.220
879;LPB;LPBank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;82.099
880;HDB;HDBank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;78.348
881;STB;Sacombank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;63.060
882;VIB;VIBBank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;54.369
883;SSB;SeABank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;47.203
884;TPB;TPBank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;45.045
885;EIB;Eximbank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;38.838
886;SHB;SHB;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;38.089
887;MSB;MSB Bank;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;31.850
888;OCB;Ngân hàng Phương Đông;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;28.110
889;NAB;Ngân hàng Nam Á;HOSE;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;20.632
890;BAB;Ngân hàng Bắc Á;HNX;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;10.572
891;ABB;Ngân hàng An Bình;UPCoM;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;7.966
892;PGB;PG Bank;UPCoM;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;6.981
893;BVB;Ngân hàng Bản Việt - BVBank;UPCoM;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;6.323
894;VBB;VietBank;UPCoM;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;5.688
895;VAB;Ngân hàng Việt Á;UPCoM;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;4.963
896;NVB;Ngân hàng Quốc Dân;HNX;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;4.956
897;KLB;KienlongBank;UPCoM;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;4.482
898;SGB;Sài Gòn Công thương;UPCoM;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng;Ngân hàng thương mại truyền thống;4.235
899;HUT;Tasco;HNX;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;14.548
900;DRC;Cao su Đà Nẵng;HOSE;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Lốp xe;Lốp xe;3.338
901;CTF;City Auto;HOSE;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;2.736
902;HHS;Đầu tư DV Hoàng Huy;HOSE;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;2.627
903;HAX;Ô tô Hàng Xanh;HOSE;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;1.800
904;SVC;SAVICO;HOSE;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;1.652
905;CSM;Cao su Miền Nam;HOSE;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Lốp xe;Lốp xe;1.176
906;GMA;G-Automobile;HNX;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;1.072
907;SRC;Cao su Sao Vàng;HOSE;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Lốp xe;Lốp xe;704
908;VVS;Đầu tư Phát triển Máy Việt Nam;UPCoM;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;398
909;HTL;Ô tô Trường Long;HOSE;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;330
910;TMT;Ô tô TMT;HOSE;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;256
911;GGG;Ôtô Giải Phóng;UPCoM;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;115
912;DAS;Thiết bị Dầu khí Đà Nẵng;UPCoM;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;26
913;CMC;Đầu tư CMC;HNX;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;26
914;VKC;VKC Holdings;UPCoM;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Lốp xe;Lốp xe;19
915;FTI;Công nghiệp - Thương mại Hữu Nghị;UPCoM;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Phụ tùng ô tô;Phụ tùng ô tô;15
916;VMA;CN ô tô Vinacomin;UPCoM;Hàng Tiêu dùng;Ô tô và phụ tùng;Ô tô và phụ tùng;Sản xuất ô tô;Sản xuất ô tô;10
917;HPG;Hòa Phát;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;169.181
918;MSR;Masan High-Tech Materials;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;13.427
919;HSG;Tập đoàn Hoa Sen;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;12.606
920;KSV;Khoáng sản TKV;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;9.820
921;ACG;Gỗ An Cường;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;6.137
922;VIF;Lâm nghiệp Việt Nam;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;5.740
923;NKG;Thép Nam Kim;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;5.384
924;TVN;Thép Việt Nam;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;5.122
925;PTB;Công ty Cổ phần Phú Tài;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;3.949
926;PRT;Sản xuất - XNK Bình Dương;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Sản xuất giấy;Sản xuất giấy;3.180
927;GDA;Tôn Đông Á;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;3.170
928;DHC;Đông Hải Bến Tre;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Sản xuất giấy;Sản xuất giấy;2.773
929;SHI;Quốc tế Sơn Hà;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Thương mại (Bán buôn) sắt thép;2.371
930;MVB;Mỏ Việt Bắc - TKV;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;2.079
931;KSB;Khoáng sản Bình Dương;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;2.071
932;VGS;Ống thép Việt Đức;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;1.924
933;TTF;Gỗ Trường Thành;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;1.196
934;TIS;Gang thép Thái Nguyên;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;1.195
935;VPG;Đầu tư TMại XNK Việt Phát;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;1.141
936;HGM;Khoáng sản Hà Giang;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;1.095
937;BMJ;Khoáng sản Miền Đông AHP;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;1.071
938;TMB;Than Miền Bắc - Vinacomin;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai thác Than;Khai thác Than;987
939;SQC;Khoáng sản SG-Quy Nhơn;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;966
940;CST;Than Cao Sơn - TKV;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai thác Than;Khai thác Than;945
941;GVT;Giấy Việt Trì;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Sản xuất giấy;Sản xuất giấy;905
942;TMG;Kim loại màu Thái Nguyên - Vimico;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;900
943;CLM;Xuất nhập khẩu Than - Vinacomin;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai thác Than;Khai thác Than;846
944;DTL;Đại Thiên Lộc;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;837
945;SHN;Đầu tư Tổng hợp Hà Nội;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai thác Than;Khai thác Than;817
946;TKU;Công nghiệp Tung Kuang;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Nhôm;Nhôm;802
947;HHP;HHP Global;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Sản xuất giấy;Sản xuất giấy;796
948;POM;Thép Pomina;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;751
949;CAP;Lâm nông sản Yên Bái;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Sản xuất giấy;Sản xuất giấy;689
950;TLH;Thép Tiến Lên;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Thương mại (Bán buôn) sắt thép;574
951;DLG;Đức Long Gia Lai;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;569
952;SAV;Savimex;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;506
953;SMC;Đầu tư Thương mại SMC;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Thương mại (Bán buôn) sắt thép;506
954;TVD;Than Vàng Danh;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai thác Than;Khai thác Than;499
955;AAH;Than Hợp Nhất;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai thác Than;Khai thác Than;494
956;MTA;Khoáng sản và TM Hà Tĩnh;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;488
957;HAP;Tập đoàn Hapaco;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Sản xuất giấy;Sản xuất giấy;469
958;CBI;Gang thép Cao Bằng;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;404
959;KTL;Kim khí Thăng Long;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;403
960;NBC;Than Núi Béo;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai thác Than;Khai thác Than;381
961;MDF;Gỗ MDF VRG - Quảng Trị;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;380
962;HLC;Than Hà Lầm;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai thác Than;Khai thác Than;310
963;HMC;Kim khí TP.HCM;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Thương mại (Bán buôn) sắt thép;300
964;THT;Than Hà Tu;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai thác Than;Khai thác Than;285
965;BMC;Khoáng sản Bình Định;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;271
966;PIS;Pisico Bình Định;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;267
967;DHM;Khoáng sản Dương Hiếu;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;262
968;TTS;Cán thép Thái Trung;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;254
969;DFC;Xích líp Đông Anh;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;226
970;D17;Khai thác mỏ Đồng Tân;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;224
971;VID;Viễn Đông;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Sản xuất giấy;Sản xuất giấy;221
972;TNT;Tập đoàn TNT;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;215
973;MDC;Than Mông Dương;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai thác Than;Khai thác Than;214
974;BCA;Công ty B.C.H;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;213
975;SVT;Công nghệ SG Viễn Đông;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Sản xuất giấy;Sản xuất giấy;196
976;VGL;Mạ kẽm công nghiệp Vingal-Vnsteel;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;187
977;TNA;XNK Thiên Nam;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Thương mại (Bán buôn) sắt thép;186
978;YBM;Khoáng sản CN Yên Bái;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;161
979;TNB;Thép Nhà Bè;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;152
980;SHA;Sơn Hà Sài Gòn;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;139
981;TDS;Thép Thủ Đức;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;134
982;VCA;Thép VICASA - VNSTEEL;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;132
983;TNI;Tập đoàn Thành Nam;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;118
984;BKC;Khoáng sản Bắc Kạn;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;109
985;TNS;Thép tấm lá Thống Nhất;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;105
986;GLC;Vàng Lào Cai;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai thác vàng;Khai thác vàng;105
987;TTH;TM và DV Tiến Thành;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Thương mại (Bán buôn) sắt thép;105
988;HMG;Kim Khí Hà Nội;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Thương mại (Bán buôn) sắt thép;104
989;GTA;Gỗ Thuận An;HOSE;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;103
990;NSH;Nhôm Sông Hồng;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Nhôm;Nhôm;101
991;MEL;Thép Mê Lin;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;95
992;PAS;Quốc tế Phương Anh;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;93
993;TMW;Gỗ Tân Mai;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;91
994;KMT;Kim khí Miền Trung;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Thương mại (Bán buôn) sắt thép;88
995;ITQ;Tập đoàn Thiên Quang;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;83
996;MIC;Khoáng sản Quảng Nam;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;77
997;KVC;XNK Inox Kim Vĩ;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;75
998;FRC;Lâm đặc sản xuất khẩu Quảng Nam;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;75
999;TQN;Thông Quảng Ninh;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;71
1.000;MGC;Địa chất mỏ - TKV;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;63
1.001;HSV;Gang Thép Hà Nội;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Thương mại (Bán buôn) sắt thép;61
1.002;KCB;Khoáng Sản Luyện Kim Cao Bằng;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;57
1.003;SPI;Spiral Galaxy;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;55
1.004;LMC;Khoáng sản LATCA;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;50
1.005;FRM;Lâm nghiệp Sài Gòn;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Lâm nghiệp và Giấy;Lâm sản và Chế biến gỗ;Lâm sản và Chế biến gỗ;48
1.006;ATG;An Trường An;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;47
1.007;AMC;Khoáng sản Á Châu;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;45
1.008;VBG;Địa chất Việt Bắc - TKV;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;42
1.009;VDT;Lưới thép Bình Tây;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;39
1.010;KKC;Tập đoàn Thành Thái;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;34
1.011;HPM;Khoáng sản Hoàng Phúc;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;33
1.012;ACM;Tập đoàn Khoáng sản Á Cường;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;31
1.013;SSM;Kết cấu Thép VNECO;HNX;Nguyên vật liệu;Tài nguyên Cơ bản;Kim loại;Thép và sản phẩm thép;Sản xuất, chế biến thép;30
1.014;KHD;Khoáng sản Hải Dương;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;30
1.015;VIM;Khoáng sản Viglacera;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;28
1.016;LCM;Khoáng sản Lào Cai;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;25
1.017;KSH;Damac GLS;UPCoM;Nguyên vật liệu;Tài nguyên Cơ bản;Khai khoáng;Khai khoáng;Khai khoáng;23
