STT;Mã;Tên công ty;Sàn;Phân ngành - L1;Phân ngành - L2;Phân ngành - L3;Phân ngành - L4;Phân ngành - L5;"Vốn hóa
(tỷ VNĐ)"
160;EFI;Tài chính giáo dục;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Phát triển & vận hành Bất động sản khác;19
161;PPI;BĐS Thái Bình Dương;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;19
162;PXA;Đầu tư và Thương mại Dầu khí Nghệ An;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;17
163;NTB;Công trình giao thông 584;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;16
164;PXC;Phát triển Đô thị Dầu khí;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;14
165;CK8;Cơ khí 120;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Văn phòng cho thuê;11
166;CLG;Cotec Land;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;11
167;V11;VINACONEX No11;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;4
168;FPT;FPT Corp;HOSE;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Phần mềm;Phần mềm;197.123
169;CMG;Tập đoàn Công nghệ CMC;HOSE;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Dịch vụ Máy tính;Dịch vụ Máy tính;9.653
170;SAM;SAM Holdings;HOSE;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Thiết bị viễn thông;Thiết bị viễn thông;2.458
171;SGT;Sài Gòn Telecom;HOSE;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Internet;Internet;2.235
172;ELC;ELCOM;HOSE;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Thiết bị viễn thông;Thiết bị viễn thông;1.986
173;ICT;Viễn thông - Tin học Bưu điện;HOSE;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Phần mềm;Phần mềm;402
174;VEC;Điện tử và Tin học VN;UPCoM;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Phần cứng;Phần cứng;346
175;ITD;Công nghệ Tiên Phong;HOSE;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Phần mềm;Phần mềm;340
176;POT;Thiết bị Bưu điện Postef;HNX;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Phần cứng;Phần cứng;315
177;HPT;DV Công nghệ Tin học HPT;UPCoM;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Phần mềm;Phần mềm;249
178;HIG;Tập đoàn HIPT;UPCoM;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Phần mềm;Phần mềm;241
179;ST8;Tập đoàn ST8;HOSE;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Thiết bị văn phòng;Thiết bị văn phòng;193
180;SRA;SARA Việt Nam;HNX;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Phần mềm;Phần mềm;121
181;UNI;Đầu tư và Phát triển Sao Mai Việt;HNX;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Dịch vụ Máy tính;Dịch vụ Máy tính;108
182;SBD;Công nghệ Sao Bắc Đẩu;UPCoM;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Phần mềm;Phần mềm;96
